S/N,Species,ID.No.,Name,Sex,Age,Date.of.Birth,Father,Mother,Alive,Dependent,Trnaslocation.In,Translocation.Out
96,Black Rhino,205,Mutisya,Male,10 years,10/28/2010,,khali,YES,NO,NA,NA
97,Black Rhino,206,Cheptei,Female,6 years,3/15/2015,,kampie,YES,NO,NA,NA
98,Black Rhino,207,DR. Leaky,Male,5 years,3/6/2016,Muia,Detta,YES,NO,NA,NA
99,Black Rhino,208,Jamuhuri,Female,5 years,12/12/2015,,Wahito,YES,YES,NA,NA
100,Black Rhino,209,Adongo,Male,5 years,10/2/2015,,Sheillah,YES,NO,NA,NA
101,Black Rhino,210,Kitili,Male,5 years,3/3/2016,,Jogu,YES,NO,NA,NA
102,Black Rhino,211,Richard,Male,4 years,7/23/2016,Chepkwony,Michel,YES,NO,NA,NA
103,Black Rhino,212,Gitare,Male,4 years,7/23/2016,,Ruth,YES,YES,NA,NA
104,Black Rhino,213,Konana,Female,4 years,11/28/2016,,Edith,YES,NO,NA,NA
105,Black Rhino,214,Kileu,Male,4 years,11/30/2016,,khali,YES,YES,NA,NA
106,Black Rhino,215,Margaret,Female,4 years,2/10/2017,Kimalel,Hookie,YES,YES,NA,NA
107,Black Rhino,216,Yvonne,Female,4 years,5/1/2017,Micah,Silantoi,YES,YES,NA,NA
108,Black Rhino,217,Cherop,Female,4 years,5/2/2017,Lankeu,Elnino,YES,YES,NA,NA
109,Black Rhino,218,Lokitari,Unknown,4 years,5/21/2017,,Sarah,YES,YES,NA,NA
110,Black Rhino,219,Judy Calf,Unknown,4 years,6/4/2017,,Judy,YES,YES,NA,NA
111,Black Rhino,220,Grace,Female,3 years,8/16/2017,Lankeu,Topirian,YES,YES,NA,NA
112,Black Rhino,221,Omondi,Male,3 years,9/2/2017,,Chiro,YES,YES,NA,NA
113,Black Rhino,222,Melania,Female,3 years,9/17/2017,Bamboi,Awely,YES,YES,NA,NA
114,Black Rhino,223,Naomi,Female,3 years,10/5/2017,Chepkwony,Kulecho,YES,YES,NA,NA
115,Black Rhino,224,Genevieve,Female,3 years,11/4/2017,,Rebecca,YES,YES,NA,NA
116,Black Rhino,225,Kyela's Calf,Unknown,3 months,1/8/2018,,Kyela,NO,YES,NA,NA
117,Black Rhino,226,Maurine,Female,3 years,1/12/2018,,kampie,YES,YES,NA,NA
118,Black Rhino,227,Natalie,Female,3 years,4/3/2018,Ngige,Gini,YES,YES,NA,NA
119,Black Rhino,228,Elead,Male,2 years,8/29/2018,Christopher,Gladys,YES,YES,NA,NA
120,Black Rhino,229,Murungi,Male,2 years,3/8/2019,Muia,Jogu,YES,YES,NA,NA
121,Black Rhino,230,Palmeris,Male,2 years,5/5/2019,Muia,Detta,YES,YES,NA,NA
122,Black Rhino,231,Sitema,Male,2 years,6/15/2019,Bamboi,Sheillah,YES,YES,NA,NA
123,Black Rhino,232,Tokore,Male,2 years,3/13/2019,Lepeyok,Chero,YES,YES,NA,NA
124,Black Rhino,233,Sultan,Male,1 years,9/2/2019,Okuku,Solio,YES,YES,NA,NA
125,Black Rhino,234,Kabete,Female,1 years,11/15/2019,Ngige,Edith,YES,YES,NA,NA
126,Black Rhino,235,Liam,Male,8 months,4/23/2020,Lankeu,Michel,YES,YES,NA,NA
127,Black Rhino,236,Mildred Calf,Unknown,8 months,4/29/2020,Micah,Mildred,YES,YES,NA,NA
128,Black Rhino,237,Ng'ethe,Male,5 months,7/10/2020,Micah,khali,YES,YES,NA,NA
129,Black Rhino,238,Wahito's Calf,Unknown,4 months,8/21/2020,Bamboi,Wahito,YES,YES,NA,NA
